,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
806,COUTAVO SHIPPING COMPANY LIMITED,6872,C,Εταιρεία,Εγγεγραμμένη,559,559,ΣΚΟΠΑ 10  1075 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1627198, _2=33.3609353)",35.1627198,33.3609353
807,ST. RAPHAEL RESORT,6874,B,Εμπορική Επωνυμία,Εγγεγραμμένη,7047,7047,ΑΜΑΘΟΥΝΤΟΣ  ΛΕΜΕΣΟΣ ,"Row(_1=34.6851915, _2=33.0560735)",34.6851915,33.0560735
808,PHANOS G. IONIDES LIMITED,6888,C,Εταιρεία,Εγγεγραμμένη,6165,6165,ΧΡΙΣΤΟΔΟΥΛΟΥ ΣΩΖΟΥ 31  1096 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1689449, _2=33.3559994)",35.1689449,33.3559994
809,TSOKKOS HOLIDAY APARTMENTS,6899,B,Εμπορική Επωνυμία,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
810,NAPA TSOKKOS HOTEL,6900,B,Εμπορική Επωνυμία,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
811,LAMBROS LAMBROU GENERAL TRADING,6913,B,Εμπορική Επωνυμία,Εγγεγραμμένη,8745,8745,ΑΡΧ. ΚΥΠΡΙΑΝΟΥ 100  ΣΤΡΟΒΟΛΟΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.128921, _2=33.3618006)",35.128921,33.3618006
812,HELLENICARD,6939,B,Εμπορική Επωνυμία,Εγγεγραμμένη,12466,12466,ΔΙΓΕΝΗ ΑΚΡΙΤΑ 92  1061 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1645882, _2=33.3645828)",35.1645882,33.3645828
813,PETIT ANGE,6941,B,Εμπορική Επωνυμία,Εγγεγραμμένη,11959,11959,ΓΚΡΟΠΙΟΥΣ 19  3076 ΛΕΜΕΣΟΣ ,"Row(_1=34.6901909, _2=33.0267298)",34.6901909,33.0267298
814,FROU FROU INVESTMENTS LIMITED,6946,C,Εταιρεία,Εγγεγραμμένη,22400,22400,ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ 115  2660 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.17146, _2=33.332614)",35.17146,33.332614
815,ΑΓΓΕΛΟΣ ΓΡΗΓΟΡΙΟΥ & ΣΙΑ ΛΙΜΙΤΕΔ,6972,C,Εταιρεία,Εγγεγραμμένη,15071,15071,ΣΤΑΣΙΚΡΑΤΟΥΣ 12Α  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1662936, _2=33.3600294)",35.1662936,33.3600294
816,HAPPY ISLAND RESTAURANT,6986,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6658,6658,ΑΓΙΑΣ ΝΑΠΑΣ 3  ΚΑΤΩ ΠΑΦΟΣ ΠΑΦΟΣ ,"Row(_1=34.7581236, _2=32.4158062)",34.7581236,32.4158062
817,HADJIKTORIS & MELINIOTIS TRADING HOUSE,7018,P,Συνεταιρισμός,Εγγεγραμμένη,4708,4708,ΚΑΡΑΒΑ 3  ΛΕΜΕΣΟΣ ,"Row(_1=34.6892221, _2=33.0196948)",34.6892221,33.0196948
818,ΚΥΡΙΑΚΟΣ ΕΥΡΙΠΙΔΟΥ ΓΕΩΡΓΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ,7023,P,Συνεταιρισμός,Εγγεγραμμένη,18713,18713,ΑΓΙΑΣ ΑΝΑΣΤΑΣΙΑΣ 9  ΠΟΛΕΜΙΔΙΑ 4156 ΛΕΜΕΣΟΣ ,"Row(_1=34.7010645, _2=33.0000662)",34.7010645,33.0000662
819,ΤΑΣΣΟΣ ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ,7028,P,Συνεταιρισμός,Εγγεγραμμένη,404,404,ΣΟΦΟΥΛΗ 2  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.169516, _2=33.356571)",35.169516,33.356571
820,ALBORO BAGS,7031,B,Εμπορική Επωνυμία,Εγγεγραμμένη,11189,11189, ΟΡΜΗΔΕΙΑ 7530 ΛΑΡΝΑΚΑ ,"Row(_1=34.9923198, _2=33.7791944)",34.9923198,33.7791944
821,ΠΤΗΝΟΤΡΟΦΙΚΗ & ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΗ ΕΤΑΙΡΕΙΑ PODGY ΛΙΜΙΤΕΔ,7037,C,Εταιρεία,Εγγεγραμμένη,14207,14207,KENNEDY 56  ΑΓ. ΟΜΟΛΟΓΗΤΕΣ 1076 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1610149, _2=33.3512128)",35.1610149,33.3512128
822,BIG STAR PUB,7053,B,Εμπορική Επωνυμία,Εγγεγραμμένη,4552,4552,KENNEDY 1  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.16142, _2=33.358665)",35.16142,33.358665
823,"PERDIKIS & ANDRONICOU, ARCHITECTS & ENGINEERS",7060,P,Συνεταιρισμός,Εγγεγραμμένη,15085,15085,ΑΓΙΑΣ ΦΥΛΑΞΕΩΣ 70 & ΓΟΛΓΩΝ  ΛΕΜΕΣΟΣ ,"Row(_1=34.6835813, _2=33.0380766)",34.6835813,33.0380766
824,C.H.P.  (GIFTS),7061,B,Εμπορική Επωνυμία,Εγγεγραμμένη,23907,23907,ΝΙΚΗΣ 23Α  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1620517, _2=33.3585748)",35.1620517,33.3585748
825,ΣΤΕΛΙΑ ΦΑΣΙΟΝΣ,7085,P,Συνεταιρισμός,Εγγεγραμμένη,22211,22211,ΑΓΙΑΣ ΦΥΛΑΞΕΩΣ 33  3025 ΛΕΜΕΣΟΣ ,"Row(_1=34.6793991, _2=33.0405538)",34.6793991,33.0405538
826,ΒΙΟΜΗΧΑΝΙΑ ΥΠΟΚΑΜΙΣΩΝ ΟΜΙΚΡΟ ΛΙΜΙΤΕΔ,7100,C,Εταιρεία,Εγγεγραμμένη,17359,17359,ΣΑΛΒΑΤΟΡ ΝΤΑΛΙ 7  3110 ΛΕΜΕΣΟΣ ,"Row(_1=34.7029135, _2=33.0136505)",34.7029135,33.0136505
827,HAPPY EATER SNACK BAR,7106,B,Εμπορική Επωνυμία,Εγγεγραμμένη,9553,9553,ΟΜΟΝΟΙΑΣ 39  ΛΕΜΕΣΟΣ ,"Row(_1=34.6698254, _2=33.0127205)",34.6698254,33.0127205
828,Π. & Μ. ΛΕΝΑΣ (ΕΠΕΝΔΥΣΕΙΣ) ΛΙΜΙΤΕΔ,7136,C,Εταιρεία,Εγγεγραμμένη,6045,6045,ΜΕΤΟΧΙΟΥ 4  ΑΓΙΟΣ ΑΝΔΡΕΑΣ 1101 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1715252, _2=33.3506382)",35.1715252,33.3506382
829,A. KATSOURAS & CO.  SUPPLIERS,7141,P,Συνεταιρισμός,Εγγεγραμμένη,4416,4416, ΧΟΙΡΟΚΟΙΤΙΑ ΛΑΡΝΑΚΑ ,"Row(_1=34.7966222, _2=33.33558)",34.7966222,33.33558
830,FLORIANA RESTAURANT-BAR-CAFETERIA,7150,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6533,6533, ΠΡΩΤΑΡΑΣ ΠΑΡΑΛΙΜΝΙ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.0120718, _2=34.0562252)",35.0120718,34.0562252
832,BACCHUS GIFT SHOP,7158,B,Εμπορική Επωνυμία,Εγγεγραμμένη,3477,3477,ΕΡΜΟΥ 162  ΛΑΡΝΑΚΑ ,"Row(_1=34.9136629, _2=33.6353403)",34.9136629,33.6353403
833,ALWAYS GREEN FLOWER SHOP,7164,B,Εμπορική Επωνυμία,Εγγεγραμμένη,334,334,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ 45Α  3080 ΛΕΜΕΣΟΣ ,"Row(_1=34.6989489, _2=33.0228345)",34.6989489,33.0228345
834,K.T.  GENERAL CLEANERS SERVICE,7165,B,Εμπορική Επωνυμία,Εγγεγραμμένη,24531,24531,ΦΙΛΕΛΛΗΝΩΝ 12  ΣΤΡΟΒΟΛΟΣ 2039 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1361275, _2=33.3485653)",35.1361275,33.3485653
835,K. TSANGARIDES SUPER CLEAN,7166,B,Εμπορική Επωνυμία,Εγγεγραμμένη,24531,24531,ΦΙΛΕΛΛΗΝΩΝ 12  ΣΤΡΟΒΟΛΟΣ 2039 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1361275, _2=33.3485653)",35.1361275,33.3485653
836,ΓΕΩΡΓΙΚΗ ΕΤΑΙΡΕΙΑ ΔΙΠΛΑΡΚΑΚΑ,7177,P,Συνεταιρισμός,Εγγεγραμμένη,1694,1694, ΑΚΑΚΙ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1337357, _2=33.1288417)",35.1337357,33.1288417
837,ΘΙΣΒΗ ΚΑΦΕ-ΣΝΑΚ ΜΠΑΡ,7193,B,Εμπορική Επωνυμία,Εγγεγραμμένη,10282,10282,ΑΓΙΑΣ ΑΝΑΣΤΑΣΙΑΣ 4  ΚΑΤΩ ΠΑΦΟΣ ΠΑΦΟΣ ,"Row(_1=34.758121, _2=32.4150038)",34.758121,32.4150038
838,ZAPATOS SHOES,7195,B,Εμπορική Επωνυμία,Εγγεγραμμένη,2619,2619,ΔΙΟΣ 3  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΛΑΤΣΙΩΝ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1063639, _2=33.3782668)",35.1063639,33.3782668
839,MASTER PIECE BOUTIQUE,7208,B,Εμπορική Επωνυμία,Εγγεγραμμένη,4644,4644,ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ 49  3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6902259, _2=33.049495)",34.6902259,33.049495
840,TWINKLE BABY WEAR CO.,7220,P,Συνεταιρισμός,Εγγεγραμμένη,25188,25188,ΑΝΔΡΕΑ ΘΕΜΙΣΤΟΚΛΕΟΥΣ 9  3041 ΛΕΜΕΣΟΣ ,"Row(_1=34.6769321, _2=33.0446434)",34.6769321,33.0446434
841,ΛΕΩΦΟΡΕΙΑ (ΟΡΟΚΛΙΝΗΣ) Η ΑΝΑΠΤΥΞΗ,7223,P,Συνεταιρισμός,Εγγεγραμμένη,11694,11694, ΟΡΟΚΛΙΝΗ ΛΑΡΝΑΚΑ ,"Row(_1=34.9828802, _2=33.6558907)",34.9828802,33.6558907
842,ΚΑΦΕΣΤΙΑΤΟΡΙΟΝ ΤΟ ΒΡΥΣΙ,7233,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22057,22057, ΠΕΔΟΥΛΑΣ 2850 ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9686392, _2=32.827564)",34.9686392,32.827564
843,S.A.  WELDING,7237,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22274,22274, ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ ΛΕΜΕΣΟΣ ,"Row(_1=34.7109373, _2=33.0597452)",34.7109373,33.0597452
844,HANSATOYS,7247,B,Εμπορική Επωνυμία,Εγγεγραμμένη,11389,11389,ΣΤΡΟΒΟΛΟΥ 62Α  ΣΤΡΟΒΟΛΟΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1446934, _2=33.3446408)",35.1446934,33.3446408
845,WETZ TISSUE,7274,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6477,6477,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 6  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1676704, _2=33.3578541)",35.1676704,33.3578541
846,M.CHR.A.  EUROPIANS SHOES,7279,B,Εμπορική Επωνυμία,Εγγεγραμμένη,2619,2619,ΔΙΟΣ 3  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΛΑΤΣΙΩΝ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1063639, _2=33.3782668)",35.1063639,33.3782668
847,CAROL SHOES,7280,B,Εμπορική Επωνυμία,Εγγεγραμμένη,2619,2619,ΔΙΟΣ 3  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΛΑΤΣΙΩΝ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1063639, _2=33.3782668)",35.1063639,33.3782668
848,ΕΣΤΙΑΤΟΡΙΟ ΣΡΥΣΗ ΠΑΡΑΓΚΑ,7282,B,Εμπορική Επωνυμία,Εγγεγραμμένη,11546,11546, ΜΟΝΗ 4525 ΛΕΜΕΣΟΣ ,"Row(_1=34.7390692, _2=33.2012827)",34.7390692,33.2012827
849,TIGER DISCO,7282,P,Συνεταιρισμός,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
850,GEROSKIPOU ZENON GARDENS CAMPING,7292,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6449,6449, ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ ΛΕΜΕΣΟΣ ,"Row(_1=34.6997318, _2=33.0873408)",34.6997318,33.0873408
851,ΓΥΜΝΑΣΤΗΡΙΟΝ ΓΙΑΝΝΑ ΣΠΟΡΤ,7311,B,Εμπορική Επωνυμία,Εγγεγραμμένη,5034,5034,ΠΕΤΡΟΥ ΤΣΙΡΟΥ 53Α  3075 ΛΕΜΕΣΟΣ ,"Row(_1=34.6898815, _2=33.0319314)",34.6898815,33.0319314
852,ΑΡΙΣΤΟΣ ΧΡΥΣΟΣΤΟΜΟΥ ΑΣΦΑΛΙΣΤΙΚΟΙ ΠΡΑΚΤΟΡΕΣ ΛΤΔ,7322,C,Εταιρεία,Εγγεγραμμένη,3778,3778,ΦΙΛΟΠΟΙΜΕΝΟΣ 12  ΛΕΜΕΣΟΣ ,"Row(_1=34.6858245, _2=33.0304411)",34.6858245,33.0304411
853,ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΠΕΡΝΑΡΑ,7324,P,Συνεταιρισμός,Εγγεγραμμένη,15637,15637, ΚΕΛΛΑΚΙ 4500 ΛΕΜΕΣΟΣ ,"Row(_1=34.8158446, _2=33.1575597)",34.8158446,33.1575597
854,ΦΑΡΜΑ Α/ΦΟΙ Ν.Κ.Α. ΠΑΣΑΤΕΜΠΟΥ,7337,P,Συνεταιρισμός,Εγγεγραμμένη,296,296, ΔΑΛΙ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.0195632, _2=33.4192946)",35.0195632,33.4192946
855,ETMA (PAPHOS) LIMITED,7356,C,Εταιρεία,Εγγεγραμμένη,29258,29258,ΣΑΛΑΜΙΝΟΣ 4  1035 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1700451, _2=33.369968)",35.1700451,33.369968
856,D.K.  MOTORS,7359,P,Συνεταιρισμός,Εγγεγραμμένη,11189,11189, ΟΡΜΗΔΕΙΑ 7530 ΛΑΡΝΑΚΑ ,"Row(_1=34.9923198, _2=33.7791944)",34.9923198,33.7791944
857,HIPPOCAMPUS LOUNGE RESTAURANT,7366,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6354,6354, ΠΑΡΑΛΙΜΝΙ ΠΡΩΤΑΡΑΣ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.0120718, _2=34.0562252)",35.0120718,34.0562252
858,THEOSKEPASTI BEACH FLATS LIMITED,7375,C,Εταιρεία,Εγγεγραμμένη,1512,1512,ΑΔΩΝΙΔΟΣ 27  8010 ΠΑΦΟΣ ,"Row(_1=34.77539489999999, _2=32.4217786)",34.77539489999999,32.4217786
859,PESBA BUS TRANSPORT COMPANY,7381,P,Συνεταιρισμός,Εγγεγραμμένη,5234,5234, ΠΥΛΑ 7080 ΛΑΡΝΑΚΑ ,"Row(_1=35.0134077, _2=33.6922186)",35.0134077,33.6922186
860,C.H.A.  SOULI HOTEL,7383,B,Εμπορική Επωνυμία,Εγγεγραμμένη,1937,1937, ΠΟΛΗ ΧΡΥΣΟΧΟΥΣ 8830 ΠΑΦΟΣ ,"Row(_1=35.0339441, _2=32.4253751)",35.0339441,32.4253751
861,ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΡΚΟΛΙΕΣ,7385,P,Συνεταιρισμός,Εγγεγραμμένη,19197,19197, ΣΩΤΗΡΑ 4633 ΛΕΜΕΣΟΣ ,"Row(_1=34.7112765, _2=32.8621753)",34.7112765,32.8621753
862,ALOE,7387,P,Συνεταιρισμός,Εγγεγραμμένη,12586,12586,ΠΛΑΤΩΝΟΣ 42  3090 ΛΕΜΕΣΟΣ ,"Row(_1=34.6901262, _2=33.0422127)",34.6901262,33.0422127
863,NEW CLEOPATRA HOTEL,7391,B,Εμπορική Επωνυμία,Εγγεγραμμένη,13003,13003,ΦΛΩΡΙΝΗΣ 8  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1650671, _2=33.3585292)",35.1650671,33.3585292
864,ROVER GENERAL CLEANERS,7429,P,Συνεταιρισμός,Εγγεγραμμένη,24531,24531,ΦΙΛΕΛΛΗΝΩΝ 12  ΣΤΡΟΒΟΛΟΣ 2039 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1361275, _2=33.3485653)",35.1361275,33.3485653
865,ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΔΡΕΑΣ Μ. ΧΑΤΖΗΙΩΑΝΝΟΥ,7430,P,Συνεταιρισμός,Εγγεγραμμένη,17753,17753, ΠΑΡΕΚΚΛΗΣΙΑ 4520 ΛΕΜΕΣΟΣ ,"Row(_1=34.7435844, _2=33.1600766)",34.7435844,33.1600766
866,PHIEL TRADING COMPANY LIMITED,7432,C,Εταιρεία,Εγγεγραμμένη,279,279,ΜΥΣΤΡΑ 4  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1672087, _2=33.3741474)",35.1672087,33.3741474
867,G.A. DRAGON MOTORS CO.,7437,P,Συνεταιρισμός,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
868,ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΧΡΗΣΤΟΥ ΙΩΑΝΝΟΥ,7453,P,Συνεταιρισμός,Εγγεγραμμένη,14485,14485, ΜΟΝΑΓΡΟΥΛΙ ΛΕΜΕΣΟΣ ,"Row(_1=34.7482813, _2=33.2120933)",34.7482813,33.2120933
869,FOTO LASER,7468,B,Εμπορική Επωνυμία,Εγγεγραμμένη,25459,25459,ΣΤΑΔΙΟΥ  ΣΤΡΟΒΟΛΟΣ 2058 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1525957, _2=33.3392484)",35.1525957,33.3392484
870,K. & D. ELECTRONICS,7468,P,Συνεταιρισμός,Εγγεγραμμένη,2263,2263, ΠΑΛΙΟΜΕΤΟΧΟ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1268061, _2=33.1921206)",35.1268061,33.1921206
871,FEO QUARRIES LIMITED,7470,C,Εταιρεία,Εγγεγραμμένη,14067,14067,ΚΟΥΡΙΟΥ 4  ΛΑΤΣΙΑ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1060062, _2=33.3790997)",35.1060062,33.3790997
872,MAISTRALI BEACH RESTAURANT,7491,P,Συνεταιρισμός,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
873,G. THEMISTOCLEOUS AUTO BODY,7492,B,Εμπορική Επωνυμία,Εγγεγραμμένη,4805,4805,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 35  ΓΕΡΟΣΚΗΠΟΥ ΠΑΦΟΣ ,"Row(_1=34.7598742, _2=32.4543095)",34.7598742,32.4543095
874,LOUCA & MAVRIDES CO.,7502,P,Συνεταιρισμός,Εγγεγραμμένη,19922,19922,Π. ΚΑΡΑΟΛΙΔΟΥ 29  ΚΑΙΜΑΚΛΙ 1020 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1853986, _2=33.39069)",35.1853986,33.39069
875,HANY TRADING,7507,B,Εμπορική Επωνυμία,Εγγεγραμμένη,14271,14271, ΠΕΡΒΟΛΙΑ ΛΑΡΝΑΚΑ ,"Row(_1=34.828698, _2=33.5798536)",34.828698,33.5798536
876,G &  F  ELECTROMETAL LIMITED,7515,C,Εταιρεία,Εγγεγραμμένη,6296,6296, ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΛΑΡΝΑΚΟΣ ΛΑΡΝΑΚΑ ,"Row(_1=34.9182222, _2=33.6200625)",34.9182222,33.6200625
877,AJAP SHOCK ABSORBERS,7517,B,Εμπορική Επωνυμία,Εγγεγραμμένη,7391,7391,ΦΛΩΡΙΝΗΣ 7  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1648906, _2=33.3586214)",35.1648906,33.3586214
878,MARANDA FLOWER SHOP,7520,P,Συνεταιρισμός,Εγγεγραμμένη,12833,12833,ΑΠΟΣΤΟΛΟΥ ΒΑΡΝΑΒΑ 22  ΛΕΜΕΣΟΣ ,"Row(_1=34.6818433, _2=33.0228384)",34.6818433,33.0228384
879,ATLASPANTOU CO LIMITED,7521,C,Εταιρεία,Εγγεγραμμένη,19801,19801,ΓΙΑΓΚΟΥ ΤΟΡΝΑΡΙΤΗ 8Α  3035 ΛΕΜΕΣΟΣ ,"Row(_1=34.6832299, _2=33.0527639)",34.6832299,33.0527639
880,A.  & CHR. MIAOULIS SUPERMARKET,7522,P,Συνεταιρισμός,Εγγεγραμμένη,3852,3852, ΠΑΛΑΙΧΩΡΙ ΛΕΥΚΩΣΙΑ ,"Row(_1=34.922316, _2=33.0920661)",34.922316,33.0920661
881,S.G.S. STYLLA BROS LIMITED,7525,C,Εταιρεία,Εγγεγραμμένη,22274,22274, ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ ΛΕΜΕΣΟΣ ,"Row(_1=34.7109373, _2=33.0597452)",34.7109373,33.0597452
882,PERIYIALI RESTAURANT,7540,P,Συνεταιρισμός,Εγγεγραμμένη,4626,4626, ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.9887366, _2=34.0002782)",34.9887366,34.0002782
883,LAIKI TRAVEL,7542,B,Εμπορική Επωνυμία,Εγγεγραμμένη,5142,5142,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 39  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1729518, _2=33.3808816)",35.1729518,33.3808816
884,BODY WORK SPORTS,7546,B,Εμπορική Επωνυμία,Εγγεγραμμένη,25494,25494,ΝΙΚΟΥ ΠΑΤΤΙΧΗ 8  4155 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
885,ΓΕΩΡΓΟΚΤΗΝΟΤΡΟΦΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΛΟΥΒΙΝΕΣ,7547,P,Συνεταιρισμός,Εγγεγραμμένη,14485,14485, ΜΟΝΑΓΡΟΥΛΙ ΛΕΜΕΣΟΣ ,"Row(_1=34.7482813, _2=33.2120933)",34.7482813,33.2120933
886,A.CH. PRIVATE INSTITUTE COLLEGE OF TOURISM,7560,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22205,22205,ΑΓΛΑΝΤΖΙΑΣ 81  ΑΓΛΑΝΤΖΙΑ 2112 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1552234, _2=33.376871)",35.1552234,33.376871
887,PRIVATE INSTITUTE MERIT COLLEGE,7561,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22205,22205,ΑΓΛΑΝΤΖΙΑΣ 81  ΑΓΛΑΝΤΖΙΑ 2112 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1552234, _2=33.376871)",35.1552234,33.376871
888,TWIN BAY HOTEL,7576,B,Εμπορική Επωνυμία,Εγγεγραμμένη,21166,21166,ΚΩΣΤΑΚΗ ΠΑΝΤΕΛΙΔΗ 13  ΣΤΡΟΒΟΛΟΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1565633, _2=33.3378431)",35.1565633,33.3378431
889,"ΜΥΤΙΔΗΣ, ΚΑΡΚΙΔΗΣ & ΒΑΣΙΛΕΙΟΥ",7576,P,Συνεταιρισμός,Εγγεγραμμένη,5234,5234, ΠΥΛΑ 7080 ΛΑΡΝΑΚΑ ,"Row(_1=35.0134077, _2=33.6922186)",35.0134077,33.6922186
890,A. MAOS HOTEL APARTMENTS,7586,B,Εμπορική Επωνυμία,Εγγεγραμμένη,17744,17744,ΔΗΜΟΚΡΑΤΙΑΣ 30  ΑΓΙΑ ΝΑΠΑ ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=34.99264, _2=34.0004833)",34.99264,34.0004833
891,BELLFOODS LOUNTZA ROLL,7589,B,Εμπορική Επωνυμία,Εγγεγραμμένη,21246,21246,ΣΠΥΡΟΥ ΛΑΜΠΡΟΥ 9  1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1604174, _2=33.3557971)",35.1604174,33.3557971
892,BELLFOODS STEAK HOUSE,7590,B,Εμπορική Επωνυμία,Εγγεγραμμένη,21246,21246,ΣΠΥΡΟΥ ΛΑΜΠΡΟΥ 9  1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1604174, _2=33.3557971)",35.1604174,33.3557971
893,ΕΣΤΙΑΤΟΡΙΟΝ ΚΑΡΝΑΓΙΟ,7598,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6449,6449, ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ ΛΕΜΕΣΟΣ ,"Row(_1=34.6997318, _2=33.0873408)",34.6997318,33.0873408
894,Γ. Ι. ΠΕΛΑΓΙΑΣ & ΣΙΑ,7601,P,Συνεταιρισμός,Εγγεγραμμένη,16150,16150,ΘΕΜ. ΔΕΡΒΗ 10  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1670322, _2=33.3578065)",35.1670322,33.3578065
895,KOUTSOKOUMNIS ASSOCIATES LIMITED,7613,C,Εταιρεία,Εγγεγραμμένη,13967,13967,ΗΛΙΑ ΒΕΝΕΖΗ 4  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1578633, _2=33.3691368)",35.1578633,33.3691368
